Sample,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,Biofilm,Habitat,Depth,Features
AS_DB1,2021-01-27T12:26:22.915-08:00,Sample,Water,DB,Arroyo_Seco,Arroyo_Seco_DB,Yes,34.203821,-118.166357,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
AS_DB2,2021-01-27T12:46:19.741-08:00,Sample,Water,DB,Arroyo_Seco,Arroyo_Seco_DB,Yes,34.204477,-118.166422,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Slope/slant
AS_PN1,2021-01-27T12:51:10.482-08:00,Sample,Water,PN,Arroyo_Seco,Arroyo_Seco_PN,Yes,34.20352,-118.166422,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
AS_PN2,2021-01-27T13:01:43.656-08:00,Sample,Water,PN,Arroyo_Seco,Arroyo_Seco_PN,Yes,34.204507,-118.166361,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Slope/slant
K0551_L7,2021-01-27T13:03:51.098-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203776,-118.166396,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Slope/slant
K0559_B2,2021-01-27T13:13:04.815-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.204082,-118.166378,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
K0559_C3,2021-01-27T13:15:01.654-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.204103,-118.166367,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
K0559_E4,2021-01-27T13:20:30.820-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.204439,-118.166435,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Slope/slant
K0559_G5,2021-01-27T13:31:47.606-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.2034,-118.166468,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
K0559_K6,2021-01-27T13:34:31.223-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.204103,-118.166367,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Slope/slant
K0559_M8,2021-01-27T13:45:51.882-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203175,-118.166459,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
K0559_T9,2021-01-27T13:47:26.345-08:00,Sample,Sediment,Sediment,Arroyo_Seco,Arroyo_Seco_Sediment,Yes,34.203765,-118.166406,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant
BP_DB1,2021-01-30T13:15:00.000-08:00,Sample,Water,DB,Bowtie_Parcel,Bowtie_Parcel_DB,Yes,34.108287,-118.246896,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
BP_DB2,2021-01-30T13:49:00.660-08:00,Sample,Water,DB,Bowtie_Parcel,Bowtie_Parcel_DB,Yes,34.108325,-118.246582,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present","Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Basin/wash
BP_PN1,2021-01-30T13:55:30.229-08:00,Sample,Water,PN,Bowtie_Parcel,Bowtie_Parcel_PN,Yes,34.108258,-118.247003,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
BP_PN2,2021-01-30T14:01:30.403-08:00,Sample,Water,PN,Bowtie_Parcel,Bowtie_Parcel_PN,Yes,34.108016,-118.246261,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
K0557_B2,2021-01-30T14:07:38.307-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108021,-118.246149,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
K0560_G5,2021-01-30T14:09:24.850-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108284,-118.246788,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
K0782_E4,2021-01-30T14:17:51.389-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.10835,-118.247017,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Slope/slant
K0782_T9,2021-01-30T14:22:31.390-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108214,-118.24685,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
K0783_C3,2021-01-30T14:24:06.936-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108336,-118.246992,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0787_K6,2021-01-30T14:26:04.486-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108292,-118.246852,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Elevated ridge Basin/wash
K0788_K6,2021-01-30T14:29:34.452-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.108058,-118.246139,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
K0790_M8,2021-01-30T14:31:18.686-08:00,Sample,Sediment,Sediment,Bowtie_Parcel,Bowtie_Parcel_Sediment,Yes,34.107828,-118.245875,"all soft bottom, no concrete present","Yes, thick layer present","Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Basin/wash
BC_DB1,2021-01-30T14:58:31.654-08:00,Sample,Water,DB,Bull_Creek,Bull_Creek_DB,Yes,34.181165,-118.497738,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
BC_DB2,2021-01-30T15:05:26.985-08:00,Sample,Water,DB,Bull_Creek,Bull_Creek_DB,Yes,34.181819,-118.497786,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
BC_PN1,2021-01-30T15:10:40.131-08:00,Sample,Water,PN,Bull_Creek,Bull_Creek_PN,Yes,34.181552,-118.497781,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Basin/wash
BC_PN2,2021-01-30T15:12:32.016-08:00,Sample,Water,PN,Bull_Creek,Bull_Creek_PN,Yes,34.181996,-118.497805,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0553_E4,2021-01-30T15:13:51.945-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181228,-118.497739,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0553_G5,2021-01-30T15:28:05.495-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181618,-118.49782,"all soft bottom, no concrete present",No layer present,"Terrestrial habitat, not submerged",Top layer (top 3cm) soil or sediment,Slope/slant
K0553_L7,2021-01-30T15:30:23.705-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.181143,-118.497724,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0553_M8,2021-01-30T15:36:25.904-08:00,Sample,Sediment,Sediment,Bull_Creek,Bull_Creek_Sediment,Yes,34.1815,-118.497809,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
